Element,Discovery Date,Periodic table column,Periodic Table Row,Atomic number,Atomic Weight,Density,Melting Point (K),Boiling Point (K),Ionic radius (ang),Atomic Radius (ang),Abundance - crust (currently incorrect?),Abundance - Human (by mass),Abundance - Meteorite (by mass),Abundance - Universe (by mass),Speed of sound (m/s)
Hydrogen,2012,1,-1,1,1.0079,0.09,14,20,0.012,0.79,0.14,0.1,0.024,0.75,1270
Helium,2012,18,-1,2,4.0026,0.18,1,4,,0.49,0,0,0,0.23,970
Lithium,2012,1,-2,3,6.941,0.53,453,1620,0.76,2.05,0,0.000003,0.0000017,0.0000006,6000
Beryllium,2012,2,-2,4,9.0122,1.85,1551,3243,0.35,1.4,0,0,0.0000029,0.0000001,13000
Boron,2012,13,-2,5,10.811,2.34,2573,2823,0.23,1.17,0,0.0000007,0.0000016,0.0000001,16200
Carbon,2012,14,-2,6,12.0107,2.26,3773,5100,,0.91,0.094,0.23,0.015,0.005,18350
Nitrogen,2012,15,-2,7,14.0067,1.25,63,77,0.13,0.75,0,0.026,0.0014,0.001,333.6
Oxygen,2012,16,-2,8,15.9994,1.43,55,90,1.4,0.65,46.71,0.61,0.4,0.01,317.5
Fluorine,2012,17,-2,9,18.9984,1.7,53,85,1.33,0.57,0.029,0.000037,0.000087,0.0000004,0
Neon,2012,18,-2,10,20.1797,0.9,24,27,,0.51,0,0,0,0.0013,936
Sodium,2012,1,-3,11,22.9897,0.97,371,1156,1.02,2.23,2.75,0.0014,0.0055,0.00002,3200
Magnesium,2012,2,-3,12,24.305,1.74,912,1363,0.72,1.72,2.08,0.00027,0.12,0.0006,4602
Aluminum,2012,13,-3,13,26.9815,2.7,933,2740,0.535,1.82,8.07,0.0000009,0.0091,0.00005,5100
Silicon,2012,14,-3,14,28.0855,2.33,1683,2628,0.4,1.46,27.69,0.00026,0.14,0.0007,2200
Phosphorus,2012,15,-3,15,30.9738,1.82,317,553,0.38,1.23,0.13,0.011,0.0011,0.000007,0
Sulfur,2012,16,-3,16,32.065,2.07,386,718,0.37,1.09,0.052,0.002,0.04,0.0005,0
Chlorine,2012,17,-3,17,35.453,3.21,172,238,1.81,0.97,0.045,0.0012,0.00037,0.000001,206
Argon,2012,18,-3,18,39.948,1.78,84,87,,0.88,0,0,0,0.0002,319
Potassium,2012,1,-4,19,39.0983,0.86,337,1047,1.38,2.77,2.58,0.002,0.0007,0.000003,2000
Calcium,2012,2,-4,20,40.078,1.55,1112,1757,0.99,2.23,3.65,0.014,0.011,0.00007,3810
Scandium,2012,3,-4,21,44.9559,2.99,1812,3105,0.745,2.09,0,0,0.0000064,0.000003,0
Titanium,2012,4,-4,22,47.867,4.54,1933,3560,0.605,2,0.62,0,0.00054,0.000003,4140
Vanadium,2012,5,-4,23,50.9415,6.11,2163,3653,0.59,1.92,0,0.000003,0.000061,0.000001,4560
Chromium,2012,6,-4,24,51.9961,7.19,2130,2945,0.52,1.85,0.035,0.000003,0.003,0.000015,5940
Manganese,2012,7,-4,25,54.938,7.43,1518,2235,0.46,1.79,0.09,0.0000002,0.0027,0.000008,5150
Iron,2012,8,-4,26,55.845,7.87,1808,3023,0.645,1.72,5.05,0.00006,0.22,0.0011,4910
Cobalt,2012,9,-4,27,58.9332,8.9,1768,3143,0.745,1.67,0,0.000002,0.00059,0.000003,4720
Nickel,2012,10,-4,28,58.6934,8.9,1726,3005,0.69,1.62,0.019,0.0000001,0.013,0.00006,4970
